cell_key,kernel,shape_group,shape_json,source,model,basis,reason,default_status,seed_status,torch_compile_status,default_us,seed_us,torch_compile_us,default_vs_torch_compile,seed_vs_torch_compile,torch_compile_vs_torch_compile
rms_norm_bwd:2048x2048,rms_norm_bwd,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,203.80799472332,22.512000054121017,22.175999358296394,0.10880828982396629,0.9850745959924998,1.0
rms_norm_bwd:2048x3584,rms_norm_bwd,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,682.59197473526,33.36000069975853,35.679999738931656,0.052271343730300915,1.0695443342478683,1.0
rms_norm_bwd:2048x4096,rms_norm_bwd,normalization,"[2048, 4096]",liger_model_config,llama_3_8b,,,ok,ok,ok,693.664014339447,34.78400036692619,37.31200098991394,0.05378973136648137,1.0726771100598151,1.0
rms_norm_bwd:2048x5120,rms_norm_bwd,normalization,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,946.7999935150146,47.39199951291084,50.863999873399734,0.05372201121861659,1.0732613182852313,1.0
rms_norm_bwd:2048x7168,rms_norm_bwd,normalization,"[2048, 7168]",liger_model_config,deepseek_v3,,,ok,ok,ok,1368.2080507278442,52.89600044488907,59.29600074887276,0.043338438709909013,1.1209921402403888,1.0
rms_norm_bwd:2048x8192,rms_norm_bwd,normalization,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,1512.2079849243164,55.776000022888184,73.21599870920181,0.04841661956497747,1.3126792649016956,1.0
rms_norm_bwd:128x4096,rms_norm_bwd,normalization,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a small row population.,ok,ok,ok,351.80799663066864,13.439999893307686,15.072000212967396,0.042841550951981694,1.1214285961767267,1.0
rms_norm_bwd:8192x4096,rms_norm_bwd,normalization,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a large row population.,ok,ok,ok,1323.7600326538086,94.43199634552002,89.24800157546997,0.06742007567379867,0.9451034080537472,1.0
layer_norm_bwd:2048x2048,layer_norm_bwd,normalization,"[2048, 2048]",liger_model_config,deepseek_v2_lite,,,ok,ok,ok,512.6399993896484,27.583999559283257,29.23200000077486,0.05702247197951509,1.0597447965422757,1.0
layer_norm_bwd:2048x3584,layer_norm_bwd,normalization,"[2048, 3584]",liger_model_config,qwen2.5_7b,,,ok,ok,ok,919.8240041732788,41.18400067090988,40.591999888420105,0.044130181104485806,0.9856254668598058,1.0
layer_norm_bwd:2048x4096,layer_norm_bwd,normalization,"[2048, 4096]",liger_model_config,llama_3_8b,,,ok,ok,ok,868.1760132312775,42.81600005924702,50.416000187397,0.05807117383922291,1.1775037396681947,1.0
layer_norm_bwd:2048x5120,layer_norm_bwd,normalization,"[2048, 5120]",liger_model_config,qwen2.5_14b,,,ok,ok,ok,1485.8400225639343,54.9440011382103,62.17600032687187,0.04184568956460216,1.1316249097052407,1.0
layer_norm_bwd:2048x7168,layer_norm_bwd,normalization,"[2048, 7168]",liger_model_config,deepseek_v3,,,ok,ok,ok,1963.648021221161,61.3120011985302,79.05599847435951,0.040259760211606495,1.2894049603498292,1.0
layer_norm_bwd:2048x8192,layer_norm_bwd,normalization,"[2048, 8192]",liger_model_config,qwen2.5_72b,,,ok,ok,ok,2406.272053718567,63.77600133419037,87.37600222229958,0.036311772015667064,1.3700451642373073,1.0
layer_norm_bwd:128x4096,layer_norm_bwd,normalization,"[128, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a small row population.,ok,ok,ok,440.3519928455353,19.311999902129173,16.96000061929226,0.038514644863300106,0.878210475623625,1.0
layer_norm_bwd:8192x4096,layer_norm_bwd,normalization,"[8192, 4096]",model_anchored_supplement,,Llama hidden size,Liger's fixed model sweep does not cover a large row population.,ok,ok,ok,1580.7999968528748,103.12000289559364,89.91999924182892,0.05688259072674946,0.8719937618007111,1.0
